,Marka_model,Rok produkcji,Przebieg,Rodzaj paliwa,Cena,Skrzynia biegow
0,Seat Leon I,2006,239 101 km,Diesel,8 200,Manualna
1,Škoda Octavia III,2019,5 km,Diesel,84 900,Manualna
2,Renault Fluence,2014,111 000 km,Benzyna,28 500,Manualna
3,Volkswagen Polo VI,2017,15 861 km,Benzyna,63 000,Manualna
4,Lexus GS III,2006,345 000 km,Benzyna,38 000,Automatyczna hydrauliczna (klasyczna)
5,Škoda Fabia III,2015,90 000 km,Benzyna,28 900,Manualna
6,Nissan Qashqai II,2019,3 km,Benzyna,37 080,"Automatyczna dwusprzęgłowa (DCT, DSG)"
7,BMW Seria 3 E36,1997,171 000 km,Benzyna,6 900,Automatyczna hydrauliczna (klasyczna)
8,Ford Focus Mk3,2015,121 348 km,Diesel,33 900,Manualna
9,BMW Seria 3 E36,1999,170 000 km,Benzyna,4 700,Manualna
10,Volkswagen Golf VII,2015,109 000 km,Diesel,39 999,Manualna
11,Ford Mondeo Mk5,2019,1 km,Benzyna,106 200,Manualna
12,Ford EcoSport,2019,1 km,Benzyna,73 900,Manualna
13,Ford Ka+,2018,5 km,Benzyna,42 900,Manualna
14,Volkswagen Passat B8,2015,122 000 km,Benzyna,59 000,Manualna
15,Ford EcoSport,2019,2 km,Benzyna,71 500,Manualna
16,Ford EcoSport,2019,2 km,Benzyna,76 600,Manualna
17,BMW Seria 3 E36,1998,220 000 km,Benzyna,5 900,Manualna
18,Toyota Auris II,2016,91 567 km,Benzyna,49 500,Manualna
19,Renault Twingo III,2018,7 900 km,Benzyna,29 000,Manualna
20,Peugeot 308 T9,2015,157 000 km,Diesel,29 900,Manualna
21,Volvo XC 60 I,2010,499 000 km,Diesel,35 600,Manualna
22,BMW X1 F48,2019,5 000 km,Diesel,149 900,Automatyczna hydrauliczna (klasyczna)
23,Volkswagen Golf Sportsvan,2016,80 485 km,Benzyna,67 900,"Automatyczna dwusprzęgłowa (DCT, DSG)"
24,BMW M2,2019,1 800 km,Benzyna,284 900,Automatyczna hydrauliczna (klasyczna)
25,BMW 6GT,2019,20 000 km,Diesel,229 900,Automatyczna hydrauliczna (klasyczna)
26,BMW Seria 5 G30/G31,2019,6 500 km,Benzyna,399 900,Automatyczna hydrauliczna (klasyczna)
27,Ford Mondeo Mk5,2018,19 476 km,Diesel,86 900,Manualna
28,BMW Seria 5 G30/G31,2019,3 800 km,Diesel,242 900,Automatyczna hydrauliczna (klasyczna)
29,Volkswagen Caravelle,2019,1 km,Diesel,158 165,Manualna
30,Volkswagen Amarok,2019,1 km,Diesel,211 916,Automatyczna hydrauliczna (klasyczna)
31,BMW Seria 5 G30/G31,2019,6 300 km,Benzyna,245 900,Automatyczna hydrauliczna (klasyczna)
32,Ford Fiesta Mk8,2019,5 km,Benzyna,67 900,Manualna
33,Renault Captur,2014,71 337 km,Benzyna,39 900,Manualna
34,Seat Arona,2019,5 km,Benzyna,80 400,Manualna
35,Seat Arona,2019,5 km,Benzyna,83 700,Manualna
36,Seat Ibiza V,2019,5 km,Benzyna,74 990,"Automatyczna dwusprzęgłowa (DCT, DSG)"
37,Seat Arona,2019,5 km,Benzyna,90 600,"Automatyczna dwusprzęgłowa (DCT, DSG)"
38,Seat Tarraco,2019,5 km,Benzyna,152 500,"Automatyczna dwusprzęgłowa (DCT, DSG)"
39,Seat Leon III,2019,5 km,Benzyna,67 500,Manualna
40,Seat Leon III,2019,5 km,Benzyna,78 900,Manualna
41,Seat Leon III,2019,5 km,Benzyna,82 500,Manualna
42,Seat Leon III,2019,5 km,Benzyna,78 500,Manualna
43,Seat Leon III,2019,5 km,Benzyna,73 700,Manualna
44,Seat Leon III,2019,5 km,Benzyna,67 900,Manualna
45,Seat Leon III,2019,5 km,Benzyna,85 990,Manualna
46,Audi A1,2019,5 km,Benzyna,124 924,"Automatyczna dwusprzęgłowa (DCT, DSG)"
47,Audi A7 C8,2019,5 km,Diesel,521 881,"Automatyczna dwusprzęgłowa (DCT, DSG)"
48,Audi Q8,2019,5 km,Diesel,435 216,"Półautomatyczna (ASG, Tiptronic)"
49,Audi,2019,5 km,Elektryczny,467 080,"Półautomatyczna (ASG, Tiptronic)"
50,Audi A4 B9,2018,5 km,Diesel,170 861,"Automatyczna dwusprzęgłowa (DCT, DSG)"
51,Volkswagen T-Roc,2019,5 km,Benzyna,96 900,Manualna
52,Volkswagen T-Roc,2019,5 km,Benzyna,100 600,Manualna
53,Volkswagen Golf VII,2019,1 km,Benzyna,95 840,Manualna
54,Volkswagen Arteon,2019,1 km,Benzyna,220 580,"Automatyczna dwusprzęgłowa (DCT, DSG)"
55,Volkswagen Golf VII,2019,1 km,Benzyna,80 560,Manualna
56,Volkswagen Passat B8,2019,1 km,Diesel,146 090,"Automatyczna dwusprzęgłowa (DCT, DSG)"
57,Škoda Superb III,2019,5 km,Diesel,175 900,"Automatyczna dwusprzęgłowa (DCT, DSG)"
58,Volkswagen Passat B8,2019,1 km,Benzyna,150 590,"Automatyczna dwusprzęgłowa (DCT, DSG)"
59,Volkswagen Polo VI,2019,1 km,Benzyna,118 000,"Automatyczna dwusprzęgłowa (DCT, DSG)"
60,Škoda Fabia III,2020,5 km,Benzyna,60 800,Manualna
61,Ford Mondeo Mk5,2016,174 000 km,Diesel,52 900,Manualna
62,Audi A6 C7,2015,202 093 km,Diesel,74 900,Manualna
63,BMW X4 G02,2019,5 000 km,Diesel,219 900,Automatyczna hydrauliczna (klasyczna)
